DESCRIPTION, PRICE , COST ,REORDER_POINT,RESTOCK_LEVEL,EXTENDED_DESCRIPTION,ACTIVE_STATUS, MSRP ,DATE_CREATED
PhenylCore 100capsules,$27.99 ,$19.40 ,0,0,Pre-Work_out Fat burner,TRUE, $-   ,5/1/08
CycloBolan 60 subLingual,$69.99 ,$29.99 ,0,0,Pre-Work_out Mass Building,TRUE, $-   ,11/12/08
FinoTrenBolone 180tabs,$49.99 ,$45.95 ,0,0,price today 20,TRUE, $-   ,1/2/13
VitaminWater Defence,$1.40 ,$0.96 ,0,0,RaspBerry Apple,TRUE, $-   ,1/19/07
VitaminWater sPARK,$1.40 ,$0.96 ,0,0,RaspBerry Apple,TRUE, $-   ,4/26/10
VitaminWater dWNLD,$1.40 ,$0.96 ,0,0,RaspBerry Apple,TRUE, $-   ,4/26/10
VitaminWater Glow,$1.40 ,$0.96 ,0,0,RaspBerry Apple,TRUE, $-   ,3/10/11
VitaminWater Zero Squeezed,$1.40 ,$0.96 ,0,0,RaspBerry Apple,TRUE, $-   ,3/10/11
Essential CLA 180sg 1000mg ,$30.99 ,$16.89 ,0,0,Sale!,TRUE, $-   ,6/27/07
Complete Whey 5lbs Vanilla,$53.99 ,$47.54 ,0,0,Special ultrafiltered,TRUE, $-   ,1/2/13
Complete Whey 2.2lbs Vanilla,$30.99 ,$25.08 ,0,0,Special ultrafiltered,TRUE, $-   ,1/2/13
SlinShot 90ct,$30.99 ,$24.49 ,0,0,speed blod glucose clearense,TRUE, $-   ,4/23/10
SARM X 60 CT,$39.99 ,$33.50 ,0,0,STEROID RECEPTOR STIMULATOR,TRUE, $-   ,5/1/07
GATORADE F Grape,$1.40 ,$0.77 ,0,0,STRAWBERRY,TRUE, $-   ,6/21/12
GATORADE F Melon,$1.40 ,$0.77 ,0,0,STRAWBERRY,TRUE, $-   ,6/21/12
GATORADE F Strawberry,$1.40 ,$0.77 ,0,0,STRAWBERRY,TRUE, $-   ,6/21/12
GTF Chromium 250tabs,$14.99 ,$10.75 ,0,0,Trivalent,TRUE, $-   ,1/2/13
JACK 3D 8oz Fp,$29.99 ,$22.29 ,0,0,USP Labs,TRUE, $-   ,1/28/10
JACK 3D 8oz LLime,$29.99 ,$22.29 ,0,0,USP Labs,TRUE, $-   ,7/22/09
JACK 3D 8oz Grape BBgum,$29.99 ,$22.29 ,0,0,USP Labs,TRUE, $-   ,7/1/10
JACK 3D 8oz RaspBerryLime,$29.99 ,$22.29 ,0,0,USP Labs,TRUE, $-   ,11/10/10
JACK 3D 8.8oz Classic Fp,$29.99 ,$22.29 ,0,0,USP Labs,TRUE, $-   ,3/20/12
Vasostat 180caps,$39.99 ,$33.58 ,0,0,VASOSTAT shatters old NO (nitric oxide) limits to deliver awesome pumps,TRUE, $-   ,3/21/12
BIOTIN 5000mcg 100 Vcaps,$14.99 ,$8.99 ,0,0,Vitamin H,TRUE, $-   ,3/23/07
BIOTIN 5000mcg 50 Vcaps,$8.99 ,$4.45 ,0,0,Vitamin H,TRUE, $-   ,1/20/09
C-AKG powder 30svg,$12.99 ,$8.13 ,0,0,whs 10.17,TRUE, $-   ,1/23/12
BCAA Keto 90ct,$17.99 ,$14.01 ,0,0,whs 17.97,TRUE, $-   ,1/23/12
Max Cuts 150gcp,$25.99 ,$20.35 ,0,0,whsl 26.10,TRUE, $-   ,9/1/11
RESVERATROL 500mg/30vc,$30.99 ,$18.99 ,0,0,Wine Extract,TRUE, $-   ,5/25/10
RESVERATROL 60vc,$15.99 ,$10.30 ,0,0,Wine Extract,TRUE, $-   ,2/15/07
RESVERATROL 250mg/60vc,$35.99 ,$22.39 ,0,0,Wine Extract 22.49,TRUE, $-   ,6/8/11
Calcium Magnesium 150tabs,$11.99 ,$7.49 ,0,0,with Vitamin D Tablets - NEW!,TRUE, $-   ,1/2/13
